date,open,high,low,close,volume
2020-05-06,776.5,789.8,761.11,782.58,11024415.0
2020-05-05,789.79,798.92,762.18,768.21,16991656.0
2020-05-04,701.0,762.0,698.0,761.19,19237090.0
2020-05-01,755.0,772.77,683.04,701.32,32531807.0
2020-04-30,855.19,869.82,763.5,781.88,28471854.0
2020-04-29,790.17,803.1999,783.16,800.51,16215982.0
2020-04-28,795.64,805.0,756.69,769.12,15221964.0
2020-04-27,737.61,799.49,735.0,798.75,20681442.0
2020-04-24,710.81,730.73,698.18,725.15,13237612.0
2020-04-23,727.6,734.0,703.13,705.63,13236697.0
2020-04-22,703.98,734.0,688.71,732.11,14224831.0
2020-04-21,730.12,753.33,673.79,686.72,20209093.0
2020-04-20,732.7,765.57,712.21,746.36,14746577.0
2020-04-17,772.28,774.95,747.66,753.89,13128237.0
2020-04-16,716.94,759.45,706.715,745.21,20657862.0
2020-04-15,742.0,753.13,710.0,729.83,23577001.0
2020-04-14,698.97,741.88,692.43,709.89,30576511.0
2020-04-13,590.16,652.0,580.53,650.95,22475421.0
2020-04-09,562.09,575.1818,557.11,573.0,13650000.0
2020-04-08,554.2,557.2081,533.33,548.84,12656024.0
2020-04-07,545.0,565.0,532.34,545.45,17919784.0
2020-04-06,511.2,521.0,497.96,516.24,14901836.0
2020-04-03,509.5,515.49,468.3901,480.01,22562076.0
2020-04-02,481.03,494.2599,446.4,454.47,19858427.0
2020-04-01,504.0,513.9548,475.1,481.56,13353180.0
2020-03-31,501.25,542.96,497.0,524.0,17771485.0
2020-03-30,510.26,516.6471,491.23,502.13,11998067.0
2020-03-27,505.0,525.8,494.03,514.36,14377408.0
2020-03-26,547.39,560.0,512.25,528.16,17422082.0
2020-03-25,545.25,557.0,511.11,539.25,21222745.0
2020-03-24,477.3,513.69,474.0,505.0,22895170.0
2020-03-23,433.6,441.9999,410.5,434.29,16454549.0
2020-03-20,438.2,477.0,425.79,427.53,28285502.0
2020-03-19,374.6965,452.0,358.46,427.64,30195460.0
2020-03-18,389.0,404.86,350.51,361.22,23625005.0
2020-03-17,440.01,471.85,396.0,430.2,23994580.0
2020-03-16,469.4997,494.8699,442.17,445.07,20489464.0
2020-03-13,595.0,607.57,502.0,546.62,22640254.0
2020-03-12,580.89,594.5,546.25,560.55,18909052.0
2020-03-11,640.2,653.58,613.0,634.23,13413587.0
2020-03-10,659.43,668.0,608.0,645.33,15594443.0
2020-03-09,605.39,662.998,605.0,608.0,17073740.0
2020-03-06,690.0035,707.0,684.27,703.48,12662918.0
2020-03-05,723.77,745.75,718.07,724.54,10852657.0
2020-03-04,763.9603,766.52,724.7345,749.5,15048977.0
2020-03-03,805.0,806.98,716.1106,745.51,25784003.0
2020-03-02,711.26,743.69,686.67,743.62,20194991.0
2020-02-28,629.7,690.52,611.52,667.99,24564171.0
2020-02-27,730.0,739.77,669.0,679.0,24277160.0
2020-02-26,782.5,813.31,776.11,778.8,14153843.0
2020-02-25,849.0,856.6,787.0,799.91,17290481.0
2020-02-24,839.0,863.5,822.2,833.79,15192163.0
2020-02-21,906.98,913.06,880.45,901.0,14339446.0
2020-02-20,911.95,912.0,859.94,899.41,17634893.0
2020-02-19,923.5,944.78,901.02,917.42,25422958.0
2020-02-18,841.6,860.0,832.36,858.4,16698369.0
2020-02-14,787.22,812.97,785.5,800.03,15693711.0
2020-02-13,741.84,818.0,735.0,804.0,26289348.0
2020-02-12,777.87,789.75,763.37,767.29,12022470.0
2020-02-11,768.79,783.5061,758.0,774.38,11697473.0
2020-02-10,800.0,819.99,752.4,771.28,24689163.0
2020-02-07,730.55,769.75,730.0,748.07,17063521.0
2020-02-06,699.92,795.83,687.0,748.96,39880752.0
2020-02-05,823.26,845.98,704.1106,734.7,48423837.0
2020-02-04,882.96,968.9899,833.88,887.06,60938758.0
2020-02-03,673.69,786.14,673.52,780.0,47233495.0
2020-01-31,640.0,653.0,632.52,650.57,15719266.0
2020-01-30,632.42,650.88,618.0,640.81,29005676.0
2020-01-29,575.69,589.7999,567.43,580.99,18216672.0
2020-01-28,568.49,576.81,558.08,566.9,11788493.0
2020-01-27,541.99,564.44,539.28,558.02,13608068.0
2020-01-24,570.63,573.86,554.26,564.82,14353600.0
2020-01-23,564.25,582.0,555.6027,572.2,19651042.0
2020-01-22,571.89,594.5,559.1,569.56,31369028.0
2020-01-21,530.25,548.58,528.41,547.2,17447270.0
2020-01-17,507.61,515.6699,503.16,510.5,13629073.0
2020-01-16,493.75,514.46,492.17,513.49,21736653.0
2020-01-15,529.76,537.84,516.7853,518.5,17368831.0
2020-01-14,544.255,547.41,524.9,537.92,29061377.0
2020-01-13,493.5,525.63,492.0,524.86,26307458.0
2020-01-10,481.79,484.94,473.7,478.15,12976832.0
2020-01-09,497.1,498.8,472.87,481.34,28463186.0
2020-01-08,473.7,498.49,468.23,492.14,31199393.0
2020-01-07,461.4,471.63,453.355,469.06,18209138.0
2020-01-06,440.47,451.56,440.0,451.54,10157499.0
2020-01-03,440.5,454.0,436.92,443.01,17794697.0
2020-01-02,424.5,430.6957,421.71,430.26,9558386.0
2019-12-31,405.0003,421.29,402.08,418.33,10292456.0
2019-12-30,428.79,429.0,409.2589,414.7,12601265.0
2019-12-27,435.0,435.31,426.11,430.38,9956827.0
2019-12-26,427.91,433.48,426.35,430.94,10648289.0
2019-12-24,418.36,425.47,412.6875,425.25,8054720.0
2019-12-23,411.78,422.01,410.0,419.22,13332821.0
2019-12-20,410.29,413.0,400.185,405.59,14785206.0
2019-12-19,397.32,406.85,396.5,404.04,18120307.0
2019-12-18,380.63,395.22,380.58,393.15,14136392.0
2019-12-17,378.99,385.5,375.9,378.99,8503775.0
2019-12-16,362.55,383.61,362.5,381.5,18220940.0
2019-12-13,361.05,365.21,354.64,358.39,6574281.0
2019-12-12,354.92,362.74,353.23,359.68,7776211.0
