date,open,high,low,close,volume
2020-05-06,875.34,883.8219,867.0,867.04,289868.0
2020-05-05,881.92,886.6865,865.63,870.23,318711.0
2020-05-04,862.33,876.03,856.5,875.0,281220.0
2020-05-01,858.77,883.49,856.89,874.92,434752.0
2020-04-30,880.0,897.97,877.0,878.55,448929.0
2020-04-29,880.22,894.23,863.095,882.34,514920.0
2020-04-28,899.0,899.0,864.03,868.36,515988.0
2020-04-27,891.0,900.0,880.79,883.07,517833.0
2020-04-24,873.43,887.93,860.95,882.47,530183.0
2020-04-23,895.0,909.88,859.0,867.02,1319356.0
2020-04-22,848.99,905.0,834.178,882.26,2353386.0
2020-04-21,799.0,809.24,772.01,786.69,966900.0
2020-04-20,807.2,822.0,804.0406,808.73,586698.0
2020-04-17,810.75,824.35,803.06,820.27,657937.0
2020-04-16,773.0,790.0,758.6,786.75,555897.0
2020-04-15,757.72,778.0,752.235,770.1,570376.0
2020-04-14,772.25,794.12,765.0,785.33,836660.0
2020-04-13,768.77,771.0,728.0,744.08,681981.0
2020-04-09,745.0,788.97,732.0,771.0,1025681.0
2020-04-08,709.21,735.0,700.0,725.12,612594.0
2020-04-07,750.0,756.27,674.5501,704.3,994854.0
2020-04-06,632.3,707.7,630.07,689.99,982545.0
2020-04-03,631.01,645.08,599.78,611.01,859814.0
2020-04-02,607.42,634.69,601.01,630.16,631585.0
2020-04-01,630.02,645.2494,604.23,619.36,819390.0
2020-03-31,634.66,674.98,625.0,654.4,844051.0
2020-03-30,622.21,647.88,620.0,639.97,533082.0
2020-03-27,624.32,643.71,613.8081,635.03,856800.0
2020-03-26,661.8,672.5,636.0,661.1,793906.0
2020-03-25,684.99,694.41,600.0,649.48,943035.0
2020-03-24,639.0,690.36,630.12,664.05,1158839.0
2020-03-23,561.31,602.2647,551.2101,588.71,1283697.0
2020-03-20,573.87,596.99,552.23,566.0,1749699.0
2020-03-19,455.86,552.995,450.5251,536.15,1413675.0
2020-03-18,492.01,499.995,415.0,465.21,1505888.0
2020-03-17,573.28,579.42,500.2687,524.41,1510156.0
2020-03-16,570.0,580.1,520.0001,571.51,1208843.0
2020-03-13,650.34,655.549,600.9202,630.36,1087825.0
2020-03-12,587.02,613.86,565.01,603.0,2078668.0
2020-03-11,681.0,691.0,626.19,646.39,994566.0
2020-03-10,689.0,704.99,661.65,701.21,909040.0
2020-03-09,667.0,689.98,650.93,657.86,1025368.0
2020-03-06,703.21,729.6,685.3,723.08,840767.0
2020-03-05,750.01,755.5,713.75,727.55,843738.0
2020-03-04,764.43,772.74,740.69,769.76,772600.0
2020-03-03,768.02,781.7806,723.26,736.07,779125.0
2020-03-02,779.52,781.5671,739.895,768.81,869006.0
2020-02-28,734.5,774.8399,702.95,773.58,1504726.0
2020-02-27,811.39,815.73,750.7264,755.55,1348956.0
2020-02-26,855.38,868.79,842.52,847.29,570859.0
2020-02-25,890.0,891.91,851.44,856.01,734940.0
2020-02-24,897.42,900.05,883.93,885.0,661946.0
2020-02-21,926.35,929.76,915.86,920.14,302165.0
2020-02-20,926.05,940.2824,916.75,927.59,362334.0
2020-02-19,934.02,938.88,931.085,933.84,318155.0
2020-02-18,924.09,934.0,922.315,927.56,369065.0
2020-02-14,912.94,923.495,908.58,921.94,366137.0
2020-02-13,898.3,914.98,898.01,912.95,422208.0
2020-02-12,890.64,901.49,887.285,900.37,395732.0
2020-02-11,893.0,899.0,890.12,890.75,334043.0
2020-02-10,861.31,891.44,859.6,890.51,511078.0
2020-02-07,858.46,865.875,850.0,864.22,571975.0
2020-02-06,858.18,863.53,846.92,857.0,689515.0
2020-02-05,892.0,893.02,851.3641,854.01,1032656.0
2020-02-04,876.01,890.17,873.64,884.82,976402.0
2020-02-03,868.0,880.0,866.68,867.33,457275.0
2020-01-31,879.51,885.04,865.0,866.76,384971.0
2020-01-30,878.49,888.581,873.56,879.95,251106.0
